objectid,parentid,title,archival_call_number,archival_collection,finding_aid_ark,contributing_institution,contributing_institution_valueURI,creator,personal_creator,corporate_creator,corporate_creator_valueURI,description,language,location,geographic_subject_fast,geographic_subject_fast_valueURI,subject,topical_subject_fast_valueURI,subject,topical_subject_local,personal_name_subject,corporate_name_subject,corporate_name_subject_valueURI,chronological_subject,extent,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,rights_management,rights_management_valueURI,date,date_original,date_digital,ark,local_id,digital_collection,digital_collection_ark,hardware_software,resolution,colorspace,samples_per_pixel,height,digital_origin,preservation_file_name,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,pdf_download
jacktrice_33,,"Memorial to Jack Trice, 1924",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Jack Trice memorial tablet in State Gymnasium at Iowa State University, the beginning of which reads: ""In memory of Jack Trice who died October 8, 1923, of injuries received in the Ames-Minnesota football game.""",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,State Gymnasium,State Gymnasium,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs;commemorative plaques,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300411443,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1924,1924,2009-09-17,https://n2t.net/ark:/87292/w9162f,jacktrice_33,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,5675,4448,reformatted digital,21-07-A_Trice_1578-01-03.tif,21-07-a_trice_1578-01-03,image/jpeg,image,/objects/21-07-a_trice_1578-01-03.jpg,/objects/small/21-07-a_trice_1578-01-03_sm.jpg,/objects/thumbs/21-07-a_trice_1578-01-03_th.jpg,,,,
jacktrice_34,,"Samuel W. Beyer letter to Chester L. Brewer regarding Trice's death, October 10, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Beyer, Samuel W.","Beyer, Samuel W.",,,"Letter from Samuel W. Beyer, a dean at Iowa State College and the school's so-called ""godfather"" of athletics, informing Chester L. Brewer, athletic director at the University of Missouri, of the death of Jack Trice, the first African American football player for Iowa State. Beyer acknowledges the racial segregation agreement among teams in several states and claims that Iowa State did not plan to have Trice play in the upcoming game against Missouri. Beyer also states that he has enclosed a copy of a letter, known as Trice's ""last letter,"" written the night before the game that caused Trice's fatal injuries.",eng,Missouri,Missouri,http://id.worldcat.org/fast/1204724,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,,,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,1920s,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-10,1923-10-10,2009-04-14,https://n2t.net/ark:/87292/w9wd0h,jacktrice_34,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,6517,5129,reformatted digital,21-07-023_Trice_01-24-02.tif,21-07-023_trice_01-24-02,image/jpeg,image,/objects/21-07-023_trice_01-24-02.jpg,/objects/small/21-07-023_trice_01-24-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-24-02_th.jpg,,,,
jacktrice_35,,"Jack Trice and teammates, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Trice with his football teammates in 1923.,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football;White people,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1174816,,,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2009-09-17,https://n2t.net/ark:/87292/w9rp7p,jacktrice_35,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,2667,3707,reformatted digital,21-07-A_Trice_1579-01-01.tif,21-07-a_trice_1579-01-01,image/jpeg,image,/objects/21-07-a_trice_1579-01-01.jpg,/objects/small/21-07-a_trice_1579-01-01_sm.jpg,/objects/thumbs/21-07-a_trice_1579-01-01_th.jpg,,,,
jacktrice_36,,"Jack Trice, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Jack Trice in his football uniform, 1923.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362,,,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2003-06-24,https://n2t.net/ark:/87292/w9mw5r,jacktrice_36,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,5693,3787,reformatted digital,21-07-A_Trice_1579-01-02.tif,21-07-a_trice_1579-01-02,image/jpeg,image,/objects/21-07-a_trice_1579-01-02.jpg,/objects/small/21-07-a_trice_1579-01-02_sm.jpg,/objects/thumbs/21-07-a_trice_1579-01-02_th.jpg,,,,
jacktrice_37,,"Jack Trice funeral on central campus, October 9, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Funeral services for Jack Trice were held on central campus, October 9, 1923.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Funeral rites and ceremonies,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/936223,Campanile,Campanile,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-09,1923-10-09,2009-09-17,https://n2t.net/ark:/87292/w9h61d,jacktrice_37,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,4527,5595,reformatted digital,21-07-A_Trice_1578-01-01.tif,21-07-a_trice_1578-01-01,image/jpeg,image,/objects/21-07-a_trice_1578-01-01.jpg,/objects/small/21-07-a_trice_1578-01-01_sm.jpg,/objects/thumbs/21-07-a_trice_1578-01-01_th.jpg,,,,
jacktrice_38,,"Iowa State football team, 1923",RS 24/06/D,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"The Iowa State football team, 1923. Jack Trice is pictured fourth from left, standing in the back row. The State Gymnasium can be seen in the background.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,State Gymnasium,State Gymnasium,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2010-02-24,https://n2t.net/ark:/87292/w9cg8k,jacktrice_38,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,4612,5630,reformatted digital,24-06-D_Football_1864-01-01.tif,24-06-d_football_1864-01-01,image/jpeg,image,/objects/24-06-d_football_1864-01-01.jpg,/objects/small/24-06-d_football_1864-01-01_sm.jpg,/objects/thumbs/24-06-d_football_1864-01-01_th.jpg,,,,
jacktrice_39,,"Iowa State football team, 1923",RS 24/06/D,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"The Iowa State football team, 1923. Jack Trice is pictured third from left. State Gymnasium can be seen in the background.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,State Gymnasium,State Gymnasium,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923,1923,2010-02-24,https://n2t.net/ark:/87292/w97p6n,jacktrice_39,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,3910,5630,reformatted digital,24-06-D_Football_1864-01-02.tif,24-06-d_football_1864-01-02,image/jpeg,image,/objects/24-06-d_football_1864-01-02.jpg,/objects/small/24-06-d_football_1864-01-02_sm.jpg,/objects/thumbs/24-06-d_football_1864-01-02_th.jpg,,,,
jacktrice_40,,"Jack Trice funeral on central campus, October 9, 1923",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Funeral services for Jack Trice were held on central campus, October 9, 1923.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,Campanile,Campanile,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-09,1923-10-09,2013-08-01,https://n2t.net/ark:/87292/w9403p,jacktrice_40,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,4310,5488,reformatted digital,21-07-A_Trice_1578-01-04.tif,21-07-a_trice_1578-01-04,image/jpeg,image,/objects/21-07-a_trice_1578-01-04.jpg,/objects/small/21-07-a_trice_1578-01-04_sm.jpg,/objects/thumbs/21-07-a_trice_1578-01-04_th.jpg,,,,
jacktrice_41,,"Dave Lendt cover letter to Stan Yates, accompanying Cora Mae Trice Greene letter to Dave Lendt, August 16, 1988",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Lendt, David","Lendt, David",,,"Letter from David (Dave) Lendt, Director of Information at Iowa State, to Stan Yates, Head of Special Collections, accompanying a letter received from Cora Mae Trice Greene. Greene was the widow of Jack Trice, the first African American athlete at Iowa State, who died from injuries sustained in a 1923 football game. Greene's daughter, Betty Armstrong, visited campus with her husband, Herbert, in 1988 to view the Jack Trice memorial statue and campus, and the couple had shared photographs from their visit with Greene.",eng,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,,,"Trice, Jack, 1902-1923;Greene, Cora Mae Trice;Armstrong, Betty;Armstrong, Herbert;Lendt, David;Yates, Stan",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-16,1988-08-16,2013-08-01,https://n2t.net/ark:/87292/w9061r,jacktrice_41,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,6600,4981,reformatted digital,21-07-023_Trice_01-06-01.tif,21-07-023_trice_01-06-01,image/jpeg,image,/objects/21-07-023_trice_01-06-01.jpg,/objects/small/21-07-023_trice_01-06-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-01_th.jpg,,,,
jacktrice_42,,"""Plaque/Letter,"" Jack Trice memorial statue by Christopher Bennett, 1988",RS PHOTO,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Bennett, Christopher","Bennett, Christopher",,,"Detail of the Jack Trice memorial statue on Iowa State campus, featuring a hand holding Trice's ""last letter."" The statue was financed by students' fundraising efforts in 1988.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Art in universities and colleges,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/815570,Jack Trice memorial statue,Jack Trice memorial statue,"Trice, Jack, 1902-1923",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,1 photograph,photographs;statues,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300047600,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1997,1997,2004-08-04,https://n2t.net/ark:/87292/w9vg99,jacktrice_42,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,3998,2833,reformatted digital,U88_22_5.tif,u88_22_5,image/jpeg,image,/objects/u88_22_5.jpg,/objects/small/u88_22_5_sm.jpg,/objects/thumbs/u88_22_5_th.jpg,,,,
jacktrice_43,,"""Jack Trice,"" memorial statue by Christopher Bennett, 1988",RS PHOTO,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Bennett, Christopher","Bennett, Christopher",,,"Jack Trice memorial statue on Iowa State campus, at the northeast entrance of Jack Trice Stadium. The statue was financed by students' fundraising efforts in 1988.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Art in universities and colleges,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/815570,Jack Trice memorial statue,Jack Trice memorial statue,"Trice, Jack, 1902-1923",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,1 photograph,photographs;statues,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300047600,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1997,1997,2004-08-05,https://n2t.net/ark:/87292/w9qp60,jacktrice_43,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,3498,2343,reformatted digital,U88_22_1.tif,u88_22_1,image/jpeg,image,/objects/u88_22_1.jpg,/objects/small/u88_22_1_sm.jpg,/objects/thumbs/u88_22_1_th.jpg,,,,
jacktrice_44,,"""Books,"" Jack Trice memorial statue by Christopher Bennett, 1988",RS PHOTO,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Bennett, Christopher","Bennett, Christopher",,,"Detail of the Jack Trice memorial statue on Iowa State campus, featuring open books. The statue was financed by students' fundraising efforts in 1988.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Art in universities and colleges,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/815570,Jack Trice memorial statue,Jack Trice memorial statue,"Trice, Jack, 1902-1923",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,1 photograph,photographs;statues,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300047600,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1997,1997,2004-08-06,https://n2t.net/ark:/87292/w9m04d,jacktrice_44,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,2399,3962,reformatted digital,U88_22_6.tif,u88_22_6,image/jpeg,image,/objects/u88_22_6.jpg,/objects/small/u88_22_6_sm.jpg,/objects/thumbs/u88_22_6_th.jpg,,,,
jacktrice_45,,"""Bronze Shoes,"" Jack Trice memorial statue by Christopher Bennett, 1988",RS PHOTO,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Bennett, Christopher","Bennett, Christopher",,,"Detail of the Jack Trice memorial statue on Iowa State campus, featuring football cleats. The statue was financed by students' fundraising efforts in 1988.",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials;Art in universities and colleges,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903;http://id.worldcat.org/fast/815570,Jack Trice memorial statue,Jack Trice memorial statue,"Trice, Jack, 1902-1923",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,1 photograph,photographs;statues,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300047600,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1997,1997,2004-08-04,https://n2t.net/ark:/87292/w9g613,jacktrice_45,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,2797,4002,reformatted digital,U88_22_7.tif,u88_22_7,image/jpeg,image,/objects/u88_22_7.jpg,/objects/small/u88_22_7_sm.jpg,/objects/thumbs/u88_22_7_th.jpg,,,,
